,subject,name,review,time,location,sentiments
841,Access to a famous infinity pool for SGD 550.-/night for a mediocre hotel,bojannoamb,Stayed 3 nights and thoroughly enjoyed our stay.  Price worth every penny.  Lots to see and do in the hotel and nearby vicinity. Our room overlooked the city and at night had fantastic views including the nightly light show.  Metro stops easily accessible for journeys...More,Reviewed 23 October 2017 ,None,Positive
842,Overcrowded and overpriced,Daniel G,"Our honeymoon began with a 4 night stay in Singapore at the Marina Bay Sands, it exceeded every expectation!
We were upgraded to an amazing room with duel aspect on the 18th floor overlooking the gardens and harbour to the front and the city, the...More",Reviewed 23 October 2017 ,"Oldenburg, Germany",Positive
843,Better than we could have imagined!,Krystal T,"I believe everyone stay here for the famous infinity pool. 
Nice experience yet I feel here is one of touristic place to go in Singapore. 

nothing bad about hotel yet its just too many ppl for me.
however, they got famous night club(celeve) , casino,...More",Reviewed 23 October 2017 ,None,Positive
844,Mesmerizing 360 Degree View of Singapore,Aoon S,"Dear Onesteptotheworld,

Thank you for sharing your review on TripAdvisor. 

I am glad to read that you enjoyed your breakfast on property and that our Team Members’ service standards consistently exceeded your expectations. Please also rest assured that I have noted your feedback regarding the...More",Reviewed 23 October 2017 ,"Dubai, United Arab Emirates",Positive
845,Gorgeous Pool,Kate_SSF,"I have mixed feelings about this hotel.

It's a 5 stars hotel, pricey but the location is perfect if like myself you're there only for a quick weekend catching a show at the Theater.  I spent 36 hours in Singapore, 2 nights at MBS literally...More",Reviewed 23 October 2017 ,"Hong Kong, China",Positive
846,Exceptional Good Quality Service from VIP Front Desk Officer Mr Sam! ,A TripAdvisor Member,"Dear travel192802,

Thank you for taking the time to share your valuable feedback with us.  

Though I am happy to note that you enjoyed your overall stay at Marina Bay Sands, I am disappointed to learn about the challenges that you encountered during your stay....More",Reviewed 23 October 2017 ,None,Positive
847,WOW,Kaine T,Right place to to go if u want to spend some hard earned cash. U have it all there from great restaurants to high end shops. They even have very fake venice boats :D great exsample of 21cebtury engeenering,Reviewed 23 October 2017 ,None,Positive
848,Observation Deck Best City Views in Singapore,Industrious001,"I have stayed at Marina Bay twice and it is a spectacular hotel.  It is a little touristy, but worth it for the cool rooftop pool.  Rooms are large spacious, and make sure you get a view of the gardens.  

Also great restaurants, highly recommend...More",Reviewed 23 October 2017 ,Los Angeles,Positive
849,A tourist attraction,Dindian,Place right in front of the sea and the Singapore river .. This place defines the infrastructure of Singapore .. You can go to the top and have a panoramic view of the City and the Sea .. You are not allowed near the Hotel...More,Reviewed 23 October 2017 ,"Perth, Australia",Positive
850,A Destination in itself,GanesanAbbu,"I always want to check in here in Marina Bay Sands as you will have the nice view of the whole city plus the luxury that you will experience. It is like a ship on top of the towers, amazing!

Will recommend it to all...More",Reviewed 22 October 2017 ,"Winkler, Manitoba",Positive
851,sleeping in the heart of a postcard,babbua,"It's unfortunate that you have to walk by smokers, just to get in and out the front door if you go to the mall.   So disappointing!

The views are spectactular and it's a very luxurious hotel.

The service is phenominal.    I just abhor the fact...More",Reviewed 22 October 2017 ,"London, United Kingdom",Negative
852,Most impressive hotel at Singapore,Thomas G,"If you are ever in Singapore you must visit the Marina Bay Sands hotel resort, it’s amazing. The rooftop pool spans across all three buildings at 65 floors atop and looks like an oasis in the air and being a zero edge pool it gives...More",Reviewed 22 October 2017 ,Aargau,Positive
853,Wonderful,Assaad-15,"Marina Bay Sands rooftop infinity pool has consistently been ranked in various magazine and website top pools of the world, and it doesn’t disappoint in person. I was fearful it was going to be overrun by kids, but it was great to find out there...More",Reviewed 22 October 2017 ,"Sao Paulo, SP",Positive
854,May not seems what you expect,A_Pint88,"We stayed two nights mid november in a Premier King City View Room.   Room was great and views tremendous.  The infinitty pool was well worth the visit as exceptional. Centre location, with easy walking distance to Clarke Quay and Robertson Quay.  The Gardens by the...More",Reviewed 22 October 2017 ,None,Positive
855,Comfy but noisy ,Tamzin S,"A very unique visit to an iconic hotel. Room was very well cleaned, also the bathroom. I liked swimming at swimming pool but water was so cold. the provided Amenities were excellent. Having breakfast at top restaurant was exciting.",Reviewed 22 October 2017 ,"Auckland Central, New Zealand",Positive
856,Fantastic hotel in great location with great staff,sim0nradley,"We decided to stay for a night in Marina Bay Sands just to experience the legend :) OK... it worth :) Enjoyed the pool, enjoyed the anniversary cake, enjoyed the views and all the other things you heart a lot! Go and experience :)",Reviewed 22 October 2017 ,"Willemstad, Curacao",Positive
857,Overrated,Hoang V,I booked the hotel for just 1 night to celebrate my wife's 30th birthday. Where should I start! It's truly magnificent place. We reached the hotel by a taxi. We were greeted at the door and the front office staff were excellent. They call me...More,Reviewed 22 October 2017 ,None,Positive
858,Superb,TheGirlOfTerezKorut,Great views and iconic pool to swim in. We felt very welcomed and was delighted with the cleanliness and ambience of the hotel. Room service was excellent and the room was made up to 5 star standard compliments of the lass assigned to look after...More,Reviewed 22 October 2017 ,None,Positive
859,Observation deck,jules-n-gang,We stayed in  a club king room with the family during a short holiday in October. We were the 38th floor facing the city and the view was awesome.  We arranged a limo through the hotel to pick us up at the airport but we...More,Reviewed 22 October 2017 ,Bristol,Positive
860,Breath-taking,Suzy2203,"Stayed for 2 nights in a standard room but paid a little extra for an upper floor and the views from 45th floor with city view is just great, rooms spacious and well equipped.

The hotel is a busy place but not overcrowded as some...More",Reviewed 22 October 2017 ,"Hornchurch, United Kingdom",Positive
861,56 stories,travelbug47london,"Marina Bay Sands is certainly worth the money. My Partner and I stayed here in August and although I had already fallen in love with Singapore, staying at Marina Bay Sands made staying in Singapore ten times better. We had a Garden View room and...More",Reviewed 21 October 2017 ,London,Positive
862,Just beautiful!!,Chandra M,"Staying there was on my bucket list so when I planned my trip to Singapore I booked my stay there.
The hotel is expensive and their room category/explanations are very confusing when it is your first time there but I was looking forward to it....More",Reviewed 21 October 2017 ,None,Negative
863,Big Beautiful Luxoriuos Hotel,Dhruv S,"Dear FlorianJMiami,

Thank you for sharing your valued feedback.

I am disheartened to read about the service challenges that you encountered during your stay with us. Please allow me to assure you that service is a top priority for us, and that I have shared...More",Reviewed 21 October 2017 ,None,Positive
864,Wow is all I can say!,Snooze01,"Marina bay is a beautiful place that all should visit..very crowded though but a super place
.the best time is the evening so you enjoy the beauty of Singapore.. the infinite swimming pool is awesome..the food is excellent..though a crowd is thete nobody should get...More",Reviewed 21 October 2017 ,"Gold Coast, Australia",Positive
865,Not just a hotel - Must visit tourist attraction !,Aviv S,"We stayed for one night at the start of a 5 night visit to Singapore, had a Club room overlooking the gardens and bay with wonderful views particularly at night. We had no problems/delays checking in or out but can imagine when its busy it...More",Reviewed 20 October 2017 ,None,Positive
